price,body,mileage,engV,engType,drive,car,,,,,registration,year,model
15500,0,68,2.5,0,0,0,,,,,yes,2010,Kuga
20500,1,173,1.8,0,1,1,,,,,yes,2011,E-Class
35000,4,135,5.5,1,1,1,,,,,yes,2008,CL 550
17800,2,162,1.8,2,2,1,,,,,yes,2012,B 180
33000,3,91,NA,4,,1,,,,,yes,2013,E-Class
16600,0,83,2,1,0,2,,,,,yes,2013,X-Trail
6500,1,199,2,1,2,3,,,,,yes,2003,Accord
10500,3,185,1.5,2,2,4,,,,,yes,2011,Megane
21500,1,146,1.8,0,1,1,,,,,yes,2012,E-Class
22700,1,125,2.2,2,1,1,,,,,yes,2010,E-Class
20447.154,0,0,1.2,1,2,2,,,,,yes,2016,Qashqai
20400,1,190,1.8,0,1,1,,,,,yes,2011,E-Class
22500,1,164,1.8,0,1,1,,,,,yes,2012,E-Class
4700,1,200,NA,1,1,5,,,,,yes,1996,316
21500,1,159,1.8,0,1,1,,,,,yes,2012,E-Class
19999,1,290,4.8,1,1,5,,,,,yes,2006,750
129222,1,2,5,1,0,5,,,,,yes,2016,750
99999,0,0,3,1,0,1,,,,,yes,2016,GLE-Class
16600,0,83,2,1,0,2,,,,,yes,2013,X-Trail
73900,1,57,4.4,1,1,5,,,,,yes,2013,M5
0,0,0,4.4,2,0,6,,,,,yes,2016,Range 48
26033.553,0,0,1.6,2,0,2,,,,,yes,2016,X-Trail
104999,0,2,3,2,0,5,,,,,yes,2016,X5
66500,0,1,2,2,0,5,,,,,yes,2016,X5
65099,0,0,2,2,0,5,,,,,yes,2016,X5
23900,0,235,3,2,0,5,,,,,yes,2007,X5
69999,0,0,2.2,2,0,1,,,,,yes,2016,GLE-Class
66200,0,70,3,2,0,5,,,,,yes,2014,X5
63000,0,0,2,2,0,5,,,,,yes,2015,X5
105999,0,0,2.98,2,0,1,,,,,yes,2016,GLE-Class
13980,5,31,NA,4,2,2,,,,,yes,2013,Leaf
17300,5,24,NA,4,2,2,,,,,yes,2013,Leaf
10700,1,147,2,1,2,7,,,,,yes,2007,Passat B6
2600,3,273,2.5,2,2,8,,,,,no,1999,A6
13700,1,70,2.4,1,2,9,,,,,yes,2008,Sebring
8999,1,120,2,1,2,7,,,,,yes,2008,Passat B6
18777,1,82,3,1,1,10,,,,,yes,2008,XF
2850,1,260,NA,4,,8,,,,,no,1999,A6
37000,1,37,2.8,1,0,8,,,,,yes,2012,A6
2.00E+05,2,19,3.5,1,1,1,,,,,yes,2013,Sprinter 324 пасс.
3850,3,215,2.5,2,2,8,,,,,no,2002,A6
13275,5,12,NA,4,2,2,,,,,yes,2013,Leaf
20400,1,190,1.8,0,1,1,,,,,yes,2011,E-Class
1900,1,300,2.5,2,1,5,,,,,no,1997,5 Series
39333,1,6,2,1,,5,,,,,yes,2016,520
99999,0,0,2.99,2,0,1,,,,,yes,2016,GLE-Class
70999,0,0,2.2,2,0,1,,,,,yes,2016,GLE-Class
63500,0,1,2,2,0,5,,,,,yes,2016,X5
59900,0,30,2,2,0,5,,,,,yes,2016,X5
9200,0,110,2.4,1,0,11,,,,,yes,2006,Outlander
20241.897,0,0,1.6,1,2,2,,,,,yes,2015,Juke
14490,3,212,2.2,2,1,1,,,,,yes,2008,E-Class
31500,1,123,2.2,2,,1,,,,,yes,2011,E-Class
0,0,0,3,2,0,1,,,,,yes,2016,GLE-Class
8999,1,120,1.9,2,2,7,,,,,yes,2007,Passat B6
3650,1,240,2.5,2,2,8,,,,,no,2000,A6
17000,5,38,NA,4,2,2,,,,,yes,2013,Leaf
12000,1,121,2.4,0,2,11,,,,,yes,2009,Galant
20633.886,0,0,1.7,2,2,12,,,,,yes,2016,Sportage
55000,0,105,3,2,0,13,,,,,yes,2012,Cayenne
18000,0,64,2,2,0,12,,,,,yes,2011,Sportage
21700,0,58,2,2,0,12,,,,,yes,2012,Sportage
2400,3,320,1.9,2,2,7,,,,,no,2000,Passat B5
2350,1,300,1.9,2,2,7,,,,,no,1998,Passat B5
18600,3,98,2.4,0,2,3,,,,,yes,2011,Accord
104999,0,1,3,2,0,1,,,,,yes,2016,GLE-Class
195000,0,0,4.5,2,0,14,,,,,yes,2016,Land Cruiser 200
49900,0,73,3,2,0,13,,,,,yes,2011,Cayenne
50900,0,53,3.6,1,0,13,,,,,yes,2013,Cayenne
99999,0,1,2.99,2,0,13,,,,,yes,2016,Cayenne
0,0,0,3,2,0,1,,,,,yes,2016,GLE-Class
0,0,0,4.5,2,0,14,,,,,yes,2016,Land Cruiser 200
102999,0,0,4.5,2,0,14,,,,,yes,2016,Land Cruiser 200
35900,0,143,3,2,0,8,,,,,yes,2010,Q7
16500,1,147,2.4,1,2,3,,,,,yes,2009,Accord
103999,0,0,4.5,2,0,14,,,,,yes,2016,Land Cruiser 200
114900,0,25,4.8,1,0,13,,,,,yes,2013,Cayenne
26500,0,160,4.8,1,0,13,,,,,yes,2008,Cayenne
12999,0,140,2.4,0,0,11,,,,,yes,2007,Outlander XL
30000,1,52,3.5,0,2,3,,,,,yes,2014,Accord
26900,0,135,4.8,1,0,13,,,,,yes,2008,Cayenne
80000,0,23,4.5,2,0,14,,,,,yes,2014,Land Cruiser 200
8500,1,260,2.2,0,1,5,,,,,yes,2001,520
7000,2,197,2.2,2,2,1,,,,,yes,2002,Vito пасс.
36000,0,145,3,1,0,8,,,,,yes,2010,Q7
9500,2,280,2.2,2,1,1,,,,,yes,2005,Vito пасс.
103999,0,0,4.5,2,0,14,,,,,yes,2016,Land Cruiser 200
1.00E+05,0,0,4.5,2,0,14,,,,,yes,2016,Land Cruiser 200
16500,4,107,2.2,2,2,1,,,,,yes,2010,Vito пасс.
15500,1,120,3.5,1,2,14,,,,,yes,2008,Camry
0,1,22,4.8,1,0,13,,,,,yes,2014,Panamera
10999,2,191,2.2,2,1,1,,,,,yes,2007,Vito пасс.
0,0,0,3,2,0,8,,,,,yes,2015,Q7
88888,0,0,3,2,0,8,,,,,yes,2015,Q7
0,0,49,4.5,2,0,14,,,,,yes,2014,Land Cruiser 200
16500,2,223,2.2,2,1,1,,,,,yes,2009,Vito пасс.
17900,0,145,3,2,0,7,,,,,yes,2007,Touareg
0,2,165,2,2,2,7,,,,,yes,2013,T5 (Transporter) груз
20400,1,190,1.8,0,1,1,,,,,yes,2011,E-Class
20000,0,115,2.5,2,0,7,,,,,yes,2008,Touareg
21000,1,186,3,1,1,5,,,,,yes,2007,530
11800,1,65,1.4,1,2,15,,,,,yes,2013,Accent
0,2,450,2.2,2,2,1,,,,,yes,2000,Vito пасс.
10000,2,231,1.9,2,,7,,,,,yes,2005,T5 (Transporter) пасс.
37990,0,140,3,2,0,7,,,,,yes,2012,Touareg
0,0,0,3,2,0,13,,,,,yes,2016,Cayenne
3900,3,240,3,2,1,5,,,,,no,2001,530
33500,0,98,NA,1,0,7,,,,,yes,2013,Touareg
9700,1,54,1.4,1,2,15,,,,,yes,2013,Accent
12400,5,26,NA,4,,2,,,,,yes,2011,Leaf
6200,1,221,1.8,0,1,1,,,,,yes,2004,E-Class
10500,3,185,1.5,2,2,4,,,,,yes,2011,Megane
6900,0,105,1.6,1,2,15,,,,,yes,2009,Accent
20300,1,198,1.8,0,1,1,,,,,yes,2011,E-Class
18500,0,185,3.6,1,0,8,,,,,yes,2008,Q7
73900,0,1,4.5,2,0,14,,,,,yes,2016,Land Cruiser 200
30500,0,40,2.7,1,0,14,,,,,yes,2011,Land Cruiser Prado
30800,0,56,2.7,0,0,14,,,,,yes,2011,Land Cruiser Prado
25500,0,200,4,1,0,14,,,,,yes,2007,Land Cruiser Prado
29500,1,37,1.8,1,,1,,,,,yes,2012,E-Class
3550,3,231,2,2,2,16,,,,,no,2005,Vectra C
0,2,162,2,2,2,7,,,,,yes,2011,T5 (Transporter) груз
99999,0,0,4.5,1,0,14,,,,,yes,2016,Land Cruiser 200
107999,0,0,2.98,2,0,1,,,,,yes,2016,GLS 350
0,0,1,3,2,0,5,,,,,yes,2014,X6
0,0,0,3,2,0,5,,,,,yes,2015,X6
74999,0,1,4.5,2,0,14,,,,,yes,2016,Land Cruiser 200
34000,0,118,2,2,0,8,,,,,yes,2013,Q5
2850,1,214,1.9,1,1,5,,,,,no,2000,318
3250,1,255,1.9,2,2,7,,,,,no,2003,Passat B5
16900,0,133,2.5,2,0,7,,,,,yes,2007,Touareg
99999,0,0,4.5,2,0,14,,,,,yes,2016,Land Cruiser 200
6800,1,106,1.6,1,2,17,,,,,yes,2007,Lacetti
23400,0,120,4,1,0,14,,,,,yes,2007,Land Cruiser Prado
17900,1,65,1.8,1,2,18,,,,,yes,2013,Superb
37700,0,62,3,2,0,14,,,,,yes,2013,Land Cruiser Prado
29500,0,50,3.5,2,0,6,,,,,yes,2008,Range 48 Sport
93555,0,0,NA,4,,1,,,,,yes,2016,GLS 350
30000,1,67,2,2,2,7,,,,,yes,2013,Passat B7
7999,1,112,2,1,2,11,,,,,yes,2008,Lancer X
43500,0,54,5,1,0,6,,,,,yes,2012,Range 48 Sport
107777,0,0,3,2,0,1,,,,,yes,2016,GLS 350
8400,1,91,1.5,1,2,11,,,,,yes,2009,Lancer X
40000,3,52,2.2,2,0,6,,,,,yes,2013,Range 48 Evoque
109999,0,0,2.98,2,0,1,,,,,yes,2016,GLS 350
2780,1,254,2.2,2,2,16,,,,,yes,2003,Vectra C
43500,4,51,3,2,1,1,,,,,yes,2014,E-Class
18700,4,145,2,2,2,7,,,,,yes,2011,T5 (Transporter) груз
7800,1,85,1.6,0,2,17,,,,,yes,2012,Lacetti
6350,0,156,4.4,0,0,5,,,,,no,2002,X5
3500,1,112,NA,1,2,19,,,,,yes,2007,Lanos
25500,4,163,4.8,1,0,5,,,,,yes,2008,X5
53500,0,69,3.5,2,0,6,,,,,yes,2012,Range 48 Sport
15999,0,59,2,1,0,2,,,,,yes,2011,Qashqai
17700,0,40,1.6,1,,2,,,,,yes,2014,Qashqai
14499,2,164,2,2,2,7,,,,,yes,2013,T5 (Transporter) груз
4300,1,70,1.5,1,2,19,,,,,yes,2007,Lanos
18999,0,173,3.8,0,0,11,,,,,yes,2008,Pajero Wagon
0,0,45,3,1,0,6,,,,,yes,2014,Range 48 Sport
71999,0,0,2.2,2,0,1,,,,,yes,2016,GLE-Class
0,0,0,3,2,0,1,,,,,yes,2016,GLS 350
18500,0,135,3,0,0,11,,,,,yes,2009,Pajero Wagon
18900,4,45,2,2,2,7,,,,,yes,2013,Passat B7
17900,2,167,2.2,2,,1,,,,,yes,2012,Vito груз.
67500,0,1,2,2,0,5,,,,,yes,2016,X5
67500,0,1,2.5,2,0,5,,,,,yes,2016,X5
28999,0,139,3.6,2,0,6,,,,,yes,2008,Range 48 Sport
49999,0,43,5,1,0,6,,,,,yes,2012,Range 48 Sport
14700,1,139,3.5,1,2,14,,,,,yes,2008,Camry
53500,0,57,3,2,0,6,,,,,yes,2013,Range 48 Sport
5600,1,145,1.6,1,2,19,,,,,yes,2008,Lanos
78900,0,0,3,2,0,6,,,,,yes,2015,Range 48 Sport
13200,5,64,1.8,1,2,18,,,,,yes,2012,Octavia A5
37200,4,115,3,2,0,5,,,,,yes,2011,X5
27500,4,174,3.6,2,0,6,,,,,yes,2008,Range 48
9200,1,124,2,1,2,21,,,,,yes,2007,3
17500,2,220,3,2,1,1,,,,,yes,2012,Vito груз.
24000,1,16,2.5,1,2,14,,,,,yes,2013,Camry
77777,0,42,2.99,2,0,6,,,,,yes,2014,Range 48 Sport
8000,1,167,2,1,2,21,,,,,yes,2007,6
0,0,36,3,2,0,5,,,,,yes,2013,X5
85999,0,39,5.7,0,0,20,,,,,yes,2013,LX 570
2400,1,3,3,2,2,1,,,,,yes,1998,E-Class
195000,0,0,4.5,2,0,14,,,,,yes,2016,Land Cruiser 200
4600,3,242,99.99,2,2,8,,,,,no,2004,A6
18900,0,127,3,0,0,11,,,,,yes,2008,Pajero Wagon
114999,0,0,2.99,2,0,1,,,,,yes,2016,GLS 350
103333,0,0,3,2,0,1,,,,,yes,2016,GLE-Class
0,0,1,3,1,0,1,,,,,yes,2015,GLE-Class
20800,0,107,4,1,0,14,,,,,yes,2006,Land Cruiser Prado
24500,0,170,4.8,0,0,5,,,,,yes,2007,X5
12300,1,157,2.4,0,2,14,,,,,yes,2007,Camry
20500,1,173,1.8,0,1,1,,,,,yes,2011,E-Class
11500,1,193,4.4,1,1,5,,,,,yes,2000,740
13200,2,182,2.2,2,1,1,,,,,yes,2011,Vito груз.
29900,0,235,3,2,0,5,,,,,yes,2009,X5
12500,2,167,2.2,2,1,1,,,,,yes,2013,Vito груз.
13999,1,88,1.8,1,2,18,,,,,yes,2012,Octavia A5
15500,0,68,2.5,0,0,0,,,,,yes,2010,Kuga
79500,0,40,5.7,1,0,20,,,,,yes,2014,LX 570
30000,4,155,3.6,2,0,6,,,,,yes,2008,Range 48 Sport
16600,1,179,3,1,0,20,,,,,yes,2006,GS 300
14300,1,71,2.4,1,2,14,,,,,yes,2008,Camry
0,0,11,5.7,1,0,20,,,,,yes,2016,LX 570
47000,0,1,5.7,1,0,20,,,,,yes,2008,LX 570
3200,1,130,1.5,1,2,19,,,,,yes,2003,Lanos
0,4,22,3,2,0,1,,,,,yes,2015,S 350
24996,1,98,3.2,1,0,8,,,,,yes,2009,A5
9200,4,280,2.4,1,1,1,,,,,yes,2003,E-Class
6800,1,225,2.4,0,2,8,,,,,yes,1998,A6
15500,0,68,2.5,2,2,0,,,,,yes,2010,Kuga
38200,1,39,1.6,1,1,1,,,,,yes,2015,C-Class
10500,0,120,NA,4,0,15,,,,,yes,2007,Tucson
19200,1,75,1.8,1,2,18,,,,,yes,2014,Octavia A7
125000,1,18,3,2,0,1,,,,,yes,2015,S 350
0,1,62,3,2,1,1,,,,,yes,2013,S 350
51900,1,78,4.8,1,,13,,,,,yes,2011,Panamera
87900,0,1,3,2,0,13,,,,,yes,2016,Cayenne
9000,1,232,2.4,1,2,14,,,,,yes,2005,Camry
11500,0,128,2,1,,2,,,,,yes,2008,Qashqai
35999,0,98,3.7,0,0,22,,,,,yes,2012,FX 37
21900,1,77,3,1,1,20,,,,,yes,2008,GS 300
